=== LOG DE ANALISIS LEXICO ===
Usuario: CristhianSantacruz
Fecha y hora: 21-06-2025-00h43

Tokens reconocidos:
Token: FUN - Valor: 'fun' - Línea actual : 107
Token: ID - Valor: 'main' - Línea actual : 107
Token: LPAREN - Valor: '(' - Línea actual : 107
Token: RPAREN - Valor: ')' - Línea actual : 107
Token: LBRACE - Valor: '{' - Línea actual : 107
Token: VAL - Valor: 'val' - Línea actual : 108
Token: ID - Valor: 'numeros' - Línea actual : 108
Token: ASSIGN - Valor: '=' - Línea actual : 108
Token: LISTOF - Valor: 'listOf' - Línea actual : 108
Token: LPAREN - Valor: '(' - Línea actual : 108
Token: NUMBER_INT - Valor: 13 - Línea actual : 108
Token: COMMA - Valor: ',' - Línea actual : 108
Token: NUMBER_INT - Valor: 45 - Línea actual : 108
Token: COMMA - Valor: ',' - Línea actual : 108
Token: NUMBER_INT - Valor: 2 - Línea actual : 108
Token: COMMA - Valor: ',' - Línea actual : 108
Token: NUMBER_INT - Valor: 9 - Línea actual : 108
Token: COMMA - Valor: ',' - Línea actual : 108
Token: NUMBER_INT - Valor: 33 - Línea actual : 108
Token: COMMA - Valor: ',' - Línea actual : 108
Token: NUMBER_INT - Valor: 58 - Línea actual : 108
Token: COMMA - Valor: ',' - Línea actual : 108
Token: NUMBER_INT - Valor: 76 - Línea actual : 108
Token: COMMA - Valor: ',' - Línea actual : 108
Token: NUMBER_INT - Valor: 101 - Línea actual : 108
Token: COMMA - Valor: ',' - Línea actual : 108
Token: NUMBER_INT - Valor: 20 - Línea actual : 108
Token: RPAREN - Valor: ')' - Línea actual : 108
Token: IF - Valor: 'if' - Línea actual : 110
Token: LPAREN - Valor: '(' - Línea actual : 110
Token: ID - Valor: 'numeros' - Línea actual : 110
Token: DOT - Valor: '.' - Línea actual : 110
Token: ID - Valor: 'isEmpty' - Línea actual : 110
Token: LPAREN - Valor: '(' - Línea actual : 110
Token: RPAREN - Valor: ')' - Línea actual : 110
Token: RPAREN - Valor: ')' - Línea actual : 110
Token: LBRACE - Valor: '{' - Línea actual : 110
Token: PRINTLN - Valor: 'println' - Línea actual : 111
Token: LPAREN - Valor: '(' - Línea actual : 111
Token: STRING - Valor: 'La lista está vacía.' - Línea actual : 111
Token: RPAREN - Valor: ')' - Línea actual : 111
Token: RBRACE - Valor: '}' - Línea actual : 112
Token: ELSE - Valor: 'else' - Línea actual : 112
Token: LBRACE - Valor: '{' - Línea actual : 112
Token: VAL - Valor: 'val' - Línea actual : 113
Token: ID - Valor: 'sumaTotal' - Línea actual : 113
Token: ASSIGN - Valor: '=' - Línea actual : 113
Token: ID - Valor: 'numeros' - Línea actual : 113
Token: SUM - Valor: '.sum' - Línea actual : 113
Token: LPAREN - Valor: '(' - Línea actual : 113
Token: RPAREN - Valor: ')' - Línea actual : 113
Token: PRINTLN - Valor: 'println' - Línea actual : 114
Token: LPAREN - Valor: '(' - Línea actual : 114
Token: STRING - Valor: 'La suma total es: $sumaTotal' - Línea actual : 114
